"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Walking","Other","","","","2025-11-28","","12588.830078125","","","","","3.07466340065002","1.13699996471405","","19","","130","168","","","0.63584022556399","141.64","29","105","52","6","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-11-28","","0","","","","","0.277459710836411","0","","","","118","139","","","0.608495398489162","11.02","5","12","0","0","0","","","","","","","","","","","","","","","","",""
"Walking","Other","","","","2025-11-29","","5611.89990234375","","","","","1.80394721031189","0.864000022411346","","24","","138","167","","","0.687440213993659","95.85","14","31","62","7","0","","","","","","","","","","","","","","","","",""
"Walking","Other","","","","2025-11-29","","4362.240234375","","","","","0.353890836238861","3.42400002479553","","14","","127","150","","","0.620632260114376","14.71","3","16","3","0","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-11-29","","0","","","","","0.346988886594772","0","","","","124","158","","","0.628042033647501","14.75","5","13","3","0","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-12-01","","0","","","","","0.60527366399765","0","","","","122","172","","","0.633337707716252","26.56","14","16","5","2","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-12-02","","6083.16015625","","","","","0.573496997356415","2.94600009918213","","153","","155","191","","","1.1499075916248","82.9","0","3","14","18","1","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2025-12-03","","6469.93994140625","","","","","1.68747305870056","1.06500005722046","","24","","131","177","","","0.575623307438251","62.76","24","39","39","4","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-12-04","","0","","","","","0.62404328584671","0","","","","114","155","","","0.599936078295524","24.6","18","20","1","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-12-07","","9144.8603515625","","","","","0.830082535743713","3.05999994277954","","157","","159","185","","","1.20366410076721","132.64","0","4","16","29","3","","","","","","","","","","","","","","","","6","3"
"Strength","Strength","","","","2025-12-08","","0","","","","","0.484698325395584","0","","","","110","136","","","0.601279486156199","19.06","18","12","0","0","0","","","","","","","","","","","","","","","","","3"
"Running","Run","","","","2025-12-10","","5026.419921875","","","","","0.676326990127563","2.06399989128113","","110","","148","180","","","0.97251012361604","70.18","0","9","21","12","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-12-10","","0","","","","","1.06351137161255","0","","","","125","161","","","0.610946828450786","44.05","11","49","7","0","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-12-11","","0","","","","","0.49330860376358","0","","","","114","148","","","0.602431124365875","19.49","15","15","0","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-12-14","","10280.4404296875","","","","","0.883991360664368","3.23000001907349","","163","","160","190","","","1.24003940007791","150.15","0","5","13","35","2","","","","","","","","","","","","","","","","6","3"
"Running","Run","","","","2025-12-22","","5804.93017578125","","","","","0.546225011348724","2.95199990272522","","158","","152","177","","","1.14505449364283","78.21","0","6","14","15","0","","","","","","","","","","","","","","","","4","5"
"Strength","Strength","","","","2025-12-24","","0","","","","","0.362331688404083","0","","","","106","144","","","0.600590812454426","14.1","18","4","0","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-12-25","","5934.72021484375","","","","","0.522704184055328","3.15400004386902","","160","","162","182","","","1.21262602550692","83.74","0","1","6","26","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-12-26","","0","","","","","0.357469707727432","0","","","","102","131","","","0.587119595076963","13.3","17","5","0","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-12-28","","7169.22021484375","","","","","0.60112053155899","3.31299996376038","","162","","163","183","","","1.27079469982351","106.18","0","3","8","22","5","","","","","","","","","","","","","","","","",""
"Cross Country Skiing","XC-Ski","","","","2026-01-01","","11180.8203125","","","","","1.03387999534607","3.00399994850159","","","","151","178","","","0.56721646577017","70","1472","7367","35","20","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2026-01-07","","7662.52978515625","","","","","0.753216445446014","2.82599997520447","","154","","153","170","","","1.06810167861559","94.5","0","2","33","14","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-07","","0","","","","","0.948790550231934","0","","","","120","163","","","0.621353198976198","40.53","22","29","8","0","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-10","","0","","","","","0.446737229824066","0","","","","123","150","","","0.614246334968141","18.31","7","19","2","0","0","","","","","","","","","","","","","","","","",""
